,census_tract,population,female_population,median_household_income,0_to_9_years_old,10_to_19_years_old,20_to_29_years_old,30_to_39_years_old,40_to_49_years_old,50_to_59_years_old,60_to_69_years_old,70_to_79_years_old,80_years_old_and_older,total_households,households_whose_annual_income_less_than_10000_dollars,households_whose_annual_income_between_10000_and_50000_dollars,households_whose_annual_income_between_50000_and_200000_dollars,households_whose_annual_income_greater_than_200000_dollars,total_workforce,workforce_in_labor,healthcare_worker,commuting_by_car_or_truck_or_van,commuting_by_public_transportation_except_taxicabs,commuting_by_walk,commuting_by_taxicab_or_motorcycle_or_bicycle_or_other_means,commuting_time_less_than_20_minutes,commuting_time_between_20_and_60_minutes,commuting_time_over_60_minutes,white,black_or_african_american,american_indian_and_alaska_native,asian,non_hispanic_white,hispanic_or_latino,no_schooling_completed,high_schooling_graduate,bachelor's_degree,occupied_housing_units,owner_occupied_housing_units,no_health_insurance_covered
0,48113001202,3674,1706,,716.0,129.0,1012.0,809.0,398.0,291.0,260.0,41.0,18.0,1802.0,136.0,793.0,728.0,145.0,2840.0,2418.0,359.0,2030.0,36.0,80.0,15.0,742.0,1316.0,103.0,3009.0,491.0,6.0,21.0,1853.0,1338.0,26.0,350.0,981.0,5901.0,3942.0,697.0
1,48121021627,7649,3638,,353.0,496.0,2044.0,1325.0,985.0,1048.0,635.0,377.0,386.0,4518.0,156.0,1006.0,2762.0,594.0,7019.0,5753.0,600.0,5077.0,25.0,0.0,93.0,2023.0,2931.0,241.0,6231.0,614.0,0.0,555.0,5783.0,484.0,47.0,565.0,2787.0,6004.0,4001.0,349.0
2,48439111310,9621,5518,,1720.0,1827.0,1209.0,1795.0,1609.0,833.0,506.0,122.0,0.0,2695.0,30.0,514.0,2020.0,131.0,6703.0,5122.0,702.0,4451.0,16.0,0.0,22.0,898.0,3092.0,499.0,4579.0,3412.0,41.0,911.0,2803.0,2120.0,40.0,1104.0,1580.0,4009.0,6016.0,1566.0
3,48231961700,2776,1491,,256.0,204.0,200.0,157.0,393.0,514.0,509.0,450.0,93.0,1034.0,101.0,475.0,445.0,13.0,2357.0,1063.0,56.0,775.0,0.0,24.0,17.0,84.0,424.0,308.0,2630.0,33.0,47.0,13.0,2583.0,47.0,9.0,788.0,178.0,5943.0,5947.0,383.0
4,48113013720,5983,3031,,1012.0,782.0,1020.0,731.0,802.0,912.0,417.0,216.0,91.0,2020.0,87.0,861.0,1063.0,9.0,4523.0,3214.0,222.0,2848.0,25.0,27.0,36.0,1044.0,1790.0,102.0,4228.0,401.0,13.0,472.0,1742.0,3241.0,76.0,1224.0,686.0,5934.0,5930.0,1754.0
5,48439111306,5110,2394,,863.0,917.0,566.0,667.0,815.0,712.0,348.0,145.0,77.0,1693.0,75.0,554.0,929.0,135.0,3731.0,2674.0,183.0,2378.0,0.0,0.0,12.0,842.0,1406.0,142.0,4116.0,530.0,30.0,12.0,2872.0,1523.0,23.0,847.0,567.0,5969.0,5970.0,1131.0
6,48439104502,2791,1390,,480.0,488.0,456.0,503.0,278.0,231.0,214.0,78.0,63.0,851.0,80.0,592.0,179.0,0.0,2037.0,1196.0,124.0,938.0,5.0,5.0,53.0,337.0,607.0,57.0,1531.0,170.0,32.0,9.0,237.0,2382.0,49.0,421.0,20.0,3889.0,3884.0,1187.0
7,48121021738,3052,1684,,434.0,209.0,580.0,559.0,474.0,316.0,253.0,110.0,117.0,1339.0,49.0,491.0,749.0,50.0,2502.0,1853.0,110.0,1486.0,38.0,60.0,15.0,518.0,1019.0,62.0,1790.0,481.0,0.0,690.0,1446.0,407.0,28.0,466.0,824.0,4009.0,2006.0,364.0
8,48439111553,3939,1954,,315.0,427.0,864.0,599.0,433.0,549.0,522.0,145.0,85.0,1778.0,153.0,724.0,867.0,34.0,3452.0,2418.0,265.0,2144.0,0.0,21.0,36.0,1021.0,1054.0,126.0,2780.0,577.0,38.0,302.0,2095.0,845.0,52.0,688.0,523.0,5961.0,1981.0,616.0
9,48113019028,3435,1736,,352.0,618.0,388.0,460.0,427.0,578.0,372.0,137.0,103.0,1188.0,69.0,494.0,619.0,6.0,2885.0,1961.0,205.0,1487.0,79.0,12.0,10.0,674.0,783.0,131.0,1445.0,747.0,43.0,583.0,860.0,1160.0,66.0,659.0,502.0,5927.0,5923.0,495.0
